eta_s,delta_pi,run_id,internal_cooperation,std_between_communities,mean_payoff
0.05,0.35,10,0.04621708998185956,0.019160692148729577,0.529362803765553
0.05,0.55,0,0.025455144059437808,0.014906468385401928,0.2990909319259361
0.05,0.55,1,0.028270331219200907,0.01793706339326812,0.3270958587798244
0.05,0.55,2,0.028997492137844274,0.016964010394857367,0.33573806180447485
0.05,0.55,5,0.02687598967435301,0.016744447783847115,0.31278422165552067
0.05,0.55,3,0.028568595189030238,0.013503292116033678,0.3335445603767511
0.05,0.55,4,0.025309731245666187,0.012742513137575236,0.2937214241124231
0.05,0.55,8,0.02861119564856012,0.014670626113902456,0.3341320664354053
0.05,0.55,7,0.026152896710386352,0.013085961453448033,0.3056235637229446
0.05,0.55,9,0.029676725410304115,0.015330348218163587,0.34572223934872404
0.05,0.55,6,0.02939981922276036,0.01585336188452955,0.3440187527492285
0.05,0.55,10,0.02729033465329789,0.014874620963167988,0.31922990251071254
0.05,0.8,0,0.01920404626812913,0.011968874637830336,0.22868346474273316
0.05,0.8,1,0.017054350370858732,0.011883828656431866,0.2014484482546041
0.05,0.8,5,0.017563537614444003,0.011821086541911439,0.20386859857407366
0.05,0.8,3,0.016446016405954226,0.010171565867487593,0.19264757165199622
0.05,0.8,2,0.016016910533739204,0.01001718231230492,0.18954675067147694
0.05,0.8,4,0.014210801206638035,0.0104184875992641,0.16813254056732216
0.05,0.8,8,0.01818277224533999,0.010713101708554594,0.21324251517831874
0.05,0.8,7,0.0155792340663358,0.009561820316679678,0.18724902763713136
0.05,0.8,6,0.017137808525358126,0.009769607901575638,0.2024114644533964
0.05,0.8,9,0.01888538370636031,0.012281627129965595,0.22104098415274723
0.05,0.8,10,0.01838506813312968,0.01089910956234784,0.2152363920627645
0.05,1.0,0,0.013189322577694586,0.01017993174602324,0.15422015200874714
0.05,1.0,1,0.01226420919168748,0.008923721611016098,0.14515733863276709
0.05,1.0,5,0.015437831958802075,0.011171650817434455,0.1809320675075837
0.05,1.0,2,0.014341938225592163,0.010093992548021053,0.17149963065701854
0.05,1.0,4,0.013137958519401876,0.011357988961303436,0.15593692736021042
0.05,1.0,3,0.012050444992829513,0.010163276197428496,0.14251100266259767
0.05,1.0,8,0.013093170755091574,0.009784287698177158,0.15669274383116438
0.05,1.0,9,0.011154837488790753,0.009378292374901898,0.13154149817103955
0.05,1.0,7,0.011990909065193827,0.008404213453775719,0.1420560266242148
0.05,1.0,6,0.013348920666168648,0.008893179567690056,0.15823679169953547
0.1,0.0,0,0.4691436970641882,0.06038608576703015,4.113733962080465
0.05,1.0,10,0.014538669428379159,0.009579764480814013,0.1725960520801499
0.1,0.0,1,0.4561497966112709,0.06425088618178168,4.026653958072092
0.1,0.0,2,0.4517219679564252,0.06067337405635479,4.009710619781151
0.1,0.0,5,0.46077644075675084,0.0731756357452732,4.056607564613105
0.1,0.0,3,0.4540632962379804,0.06272183599233955,4.0217147959176165
0.1,0.0,4,0.4696936443327837,0.058869007514885795,4.123919952307717
0.1,0.0,8,0.4612589168369185,0.059747285828271005,4.038748404903943
0.1,0.0,9,0.46091360684541177,0.0654963345945788,4.04775962282953
0.1,0.0,7,0.4693825883151487,0.05881879068619025,4.112046043100286
0.1,0.0,6,0.4592923422351795,0.050271017780359285,4.051378914834285
0.1,0.02,0,0.3901917230490297,0.060799979785601525,3.5769552733894314
0.1,0.0,10,0.4611570624848679,0.061419992074202144,4.066544849130065
0.1,0.02,1,0.38689887862999717,0.06909186150164026,3.5497077111514863
0.1,0.02,5,0.38294569329766637,0.06331982314454526,3.540141501934922
