run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,spread,het_b_lo,het_b_hi
9,901000,0.2640448516789959,0.0550407009869817,3.4633476372014864,0.3316810093333545,0.33,1055,0.0249195181099356,-0.0586733008356206,0.1165876777251184,9.75,2.844507741383769,0.1914827517456132,0.0692211259344064,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
0,1000,0.2755241536785264,0.0548200312699448,3.4758100678855306,0.3414517979192438,0.35,1123,-0.094277271513584,-0.0027054792550589,0.1050756901157613,10.175,2.7350304553823697,0.1702292838450738,-0.0474746828778658,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
1,101000,0.2641169239194293,0.0727782586748032,3.438283719866045,0.3002831117326055,0.29,1151,-0.2327642541984593,-0.1113796235566264,0.0764552562988705,8.63,2.821325758070235,0.1754123778344304,-0.0318481299363201,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
3,301000,0.2647301457329449,0.0596439174219867,3.570034538682549,0.3381071679931843,0.43,1150,-0.2457319832291205,-0.0408084110965878,0.1634782608695652,12.28,2.9296495591655844,0.1539557195078153,0.1312805439638074,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
7,701000,0.2613775061581713,0.0621501900148362,3.5385737312956382,0.3230374707166918,0.4,1098,-0.1340572085826379,-0.12594637021938,0.1575591985428051,11.44,2.937246804090411,0.1986137042943681,0.0087205684897262,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
4,401000,0.2635934205030253,0.0565014567290742,3.448491658165984,0.3627087763186569,0.42,1155,0.0028423621305885,0.1183071875474979,0.187012987012987,13.125,2.8299629626821075,0.166117610770538,-0.2354616754412126,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
2,201000,0.2520677238576356,0.0555876443387167,3.222157887556305,0.3330962962870598,0.26,1106,0.11334068129792,0.0587873409722362,0.0750452079566003,7.705,2.6963292022860714,0.1868737457364353,-0.0219663527161189,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
6,601000,0.259608751042108,0.0511019684769749,3.508251494109916,0.3504309107613489,0.36,1133,-0.1682564041122039,0.0298954902133215,0.1385701676963812,10.82,2.9233039172243327,0.17729962222358,0.0982670622161197,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
10,1001000,0.2580330830955932,0.0552540574906978,3.450601195227553,0.3790290455545962,0.44,1170,0.1228674749635597,0.1153267218361254,0.1923076923076923,12.78,2.859063636895627,0.1664257907714042,0.1303509807204455,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
5,501000,0.2775277413601424,0.0576246502168409,3.1698261425330747,0.3405738593671091,0.29,1134,-0.0155535085833662,-0.1354930336938428,0.091710758377425,9.19,2.4486498311931264,0.2837507000011155,-0.0205630878442153,0.2837507000011155,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
0,1000,0.2728884145361689,0.0660685864194391,3.2277340398914145,0.355236522927114,0.37,1123,-0.1295207862041034,-0.1695931032682729,0.120213713268032,10.725,2.530729927304205,0.2655206135248705,0.1773426296963844,0.2655206135248705,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
8,801000,0.2714721449135052,0.0629135281319059,3.2425733748340506,0.3718864489135627,0.36,1097,-0.0196475588172112,0.0678611468073698,0.1139471285323609,10.36,2.546152346261621,0.2820726789561132,-0.1431082295273137,0.2820726789561132,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,0.5,2.0,3.0
