point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
cooperativo,0.6,0.02,67,0.500974457219886,0.005511579415076116,11,0.003257135291565978
cooperativo,0.6,0.02,68,0.500854799255718,0.004131073024246638,11,0.0024413081488954833
cooperativo,0.6,0.02,69,0.5006169519237285,0.003667466119380582,11,0.0021673339760617514
cooperativo,0.6,0.02,70,0.49979800971716865,0.004950112297693926,11,0.0029253294287896925
cooperativo,0.6,0.02,71,0.500766705858948,0.006390932242149922,11,0.003776799603934569
cooperativo,0.6,0.02,72,0.5002664881836542,0.004994258849311636,11,0.002951418373617678
cooperativo,0.6,0.02,73,0.5015783869013348,0.006402592141524542,11,0.0037836901641332115
cooperativo,0.6,0.02,74,0.4996968314656499,0.006153730082798418,11,0.0036366220856090398
cooperativo,0.6,0.02,75,0.5007898523550834,0.007232775208442525,11,0.004274297005127391
cooperativo,0.6,0.02,76,0.49949136889451284,0.006618035796580264,11,0.0039110092281217455
cooperativo,0.6,0.02,77,0.5002152475913629,0.006808434749642269,11,0.0040235278190358355
cooperativo,0.6,0.02,78,0.5017437846274523,0.005766780969641438,11,0.003407949772722417
cooperativo,0.6,0.02,79,0.4995073260040839,0.004737948489796418,11,0.002799948630609457
cooperativo,0.6,0.02,80,0.5001835253483341,0.005541574204948589,11,0.0032748610796385414
cooperativo,0.6,0.02,81,0.500346849315203,0.005376182963970371,11,0.0031771211021590353
cooperativo,0.6,0.02,82,0.49889693508283023,0.004514820595779534,11,0.0026680884715872995
cooperativo,0.6,0.02,83,0.49882045134842257,0.004812015662199331,11,0.002843719532380397
cooperativo,0.6,0.02,84,0.49867432554852065,0.005114934677176779,11,0.0030227332306082795
cooperativo,0.6,0.02,85,0.49828300547395493,0.004404338335147591,11,0.0026027976278752483
cooperativo,0.6,0.02,86,0.49714792851536393,0.003425903261621926,11,0.0020245794496577467
cooperativo,0.6,0.02,87,0.49982030054214005,0.003961836019515932,11,0.0023412954702720927
cooperativo,0.6,0.02,88,0.4995348608158557,0.005832451874690889,11,0.00344675879756937
cooperativo,0.6,0.02,89,0.4977997948068996,0.005080082016532823,11,0.0030021366243654516
cooperativo,0.6,0.02,90,0.49712175918065765,0.004887287922955822,11,0.002888202595858588
cooperativo,0.6,0.02,91,0.497816510721997,0.004121756691831013,11,0.002435802548265673
cooperativo,0.6,0.02,92,0.4970648481452036,0.007097623611085548,11,0.0041944275150391595
